id,restaurant_id,currency_id,timezone,date_format,time_format,backup_frequency,settings,created_at,updated_at
38d3d26b-abe4-4760-b2ee-ca3cf968c61b,978363fe-e1ba-4e66-980d-5d6b99199fb7,14868d80-4dc1-4961-a141-e6d2a8e5b211,UTC,DD/MM/YYYY,24h,daily,{},2025-12-17 17:14:49.359468+00,2025-12-18 02:15:56.224182+00
81e65194-bf0e-45f6-bc01-ebe36b208ba9,ec68fdf9-3f76-4980-8e83-56dfec2951a4,14868d80-4dc1-4961-a141-e6d2a8e5b211,UTC,DD/MM/YYYY,24h,daily,{},2026-03-18 04:23:18.674789+00,2026-03-18 04:23:18.674789+00
b4382f02-d410-415b-9d72-ee7b913ef8f7,288d2eb0-18d1-4a18-8916-a7c3dc176fc5,14868d80-4dc1-4961-a141-e6d2a8e5b211,UTC,DD/MM/YYYY,24h,daily,{},2025-10-18 15:03:08.074401+00,2025-10-18 15:03:08.074401+00
