id,name,description,is_deletable,restaurant_id,created_at,updated_at,is_system,has_full_access
aa140faf-18f9-460d-a09a-235cdbbbdbec,Staff,Basic operational access,false,a89cea4a-c063-4d5f-8e6b-232399ffb0e5,2026-02-24 11:03:18.840026+00,2026-02-24 11:03:18.840026+00,true,false
b6fa6cca-376e-4de6-8f02-920daaa84dc0,Front Desk,test,true,978363fe-e1ba-4e66-980d-5d6b99199fb7,2025-12-15 05:40:29.552361+00,2025-12-15 05:40:29.552361+00,false,false
c18e5161-a645-4b71-8959-8cc3e480ec90,Admin,Full system access (superuser),false,a89cea4a-c063-4d5f-8e6b-232399ffb0e5,2026-02-24 11:03:18.840026+00,2026-02-24 11:03:18.840026+00,true,true
c7585e71-7079-4f77-bc86-1882f242845e,Waiter,"Orders, POS, tables, reservations",false,288d2eb0-18d1-4a18-8916-a7c3dc176fc5,2025-12-27 15:01:18.908504+00,2025-12-27 15:01:18.908504+00,true,false
cec3a5a6-e871-4c7f-8b21-ba8fa783450b,Owner,Restaurant owner with full control,false,a89cea4a-c063-4d5f-8e6b-232399ffb0e5,2026-02-24 11:03:18.840026+00,2026-02-24 11:03:18.840026+00,true,true
d89e9cec-9a5a-42bb-a837-e9cfcc2c02b8,Digital marketing executive,"The Digital Marketing Executive is responsible for planning, creating, and managing online content to grow the brand, increase engagement, and drive customers through digital platforms, especially Instagram.",true,ec68fdf9-3f76-4980-8e83-56dfec2951a4,2026-03-24 08:58:56.976951+00,2026-03-24 08:58:56.976951+00,false,false
df2e1e5e-fb4b-48af-aa46-139292049456,Chef,"Kitchen, orders, inventory, and menu management",false,ec68fdf9-3f76-4980-8e83-56dfec2951a4,2026-03-14 11:05:42.694573+00,2026-03-24 08:38:15.078717+00,true,false
e92be2b1-b9b7-414e-8a6a-0a5afc3c9e85,Admin,Full system access (superuser),false,288d2eb0-18d1-4a18-8916-a7c3dc176fc5,2025-12-27 15:01:18.908504+00,2025-12-27 15:01:18.908504+00,true,true
ee412415-22ba-4c08-9946-6065be19942b,Chef,"Kitchen, orders, inventory, and menu management",false,978363fe-e1ba-4e66-980d-5d6b99199fb7,2025-12-27 15:01:18.908504+00,2025-12-27 15:01:18.908504+00,true,false
f1b57645-3627-43a4-b5e0-c5e98139331a,Housekeeper,housekeeping access only,true,288d2eb0-18d1-4a18-8916-a7c3dc176fc5,2025-10-23 04:22:56.175628+00,2025-10-23 04:22:56.175628+00,false,false
f1e7ad1d-22f0-4a7a-8e75-3fab2847babf,Viewer,Dashboard view only (restricted),false,978363fe-e1ba-4e66-980d-5d6b99199fb7,2025-12-27 15:01:18.908504+00,2025-12-27 15:01:18.908504+00,true,false
f6d08435-1fac-4c41-bf2a-a24d49840645,Custom Access for Staff test (7394),Individual permissions for Staff test,true,978363fe-e1ba-4e66-980d-5d6b99199fb7,2025-12-17 08:31:48.639646+00,2026-02-24 02:53:29.01321+00,false,false
ffc25925-48e3-4591-94e1-6684dde31101,Waiter,"Orders, POS, tables, reservations",false,ec68fdf9-3f76-4980-8e83-56dfec2951a4,2026-03-14 11:05:42.694573+00,2026-03-14 11:05:42.694573+00,true,false
