id,restaurant_id,plan_id,status,current_period_start,current_period_end,cancel_at_period_end,created_at,updated_at,razorpay_order_id,razorpay_payment_id,razorpay_signature,amount_paid,currency,payment_method,receipt,paid_at,payment_notes,refund_id,refund_status,refund_amount,refunded_at
3704cf59-d32d-46f6-9f16-dfeb25cff53d,ec68fdf9-3f76-4980-8e83-56dfec2951a4,30af579e-5790-48c7-8ac5-0de2b2ee0e55,active,2026-03-19 11:35:42.006+00,2026-09-19 11:05:44+00,false,2026-03-14 11:05:42.492922+00,2026-03-19 11:38:30.396318+00,,,,0,INR,,,,{},,none,0,
47050ca5-2084-4cdb-ba32-31c6d9384ea2,288d2eb0-18d1-4a18-8916-a7c3dc176fc5,0bf2dd10-3cc4-47b8-b6db-3e15cdf8258d,active,2026-02-16 06:01:04.566+00,2026-06-01 06:01:04+00,true,2025-10-18 13:33:59.547286+00,2026-04-05 06:58:55.960934+00,,,,0,INR,,,,{},,none,0,
477450a9-86e0-4e25-b947-d56da160b189,a89cea4a-c063-4d5f-8e6b-232399ffb0e5,23708460-a56d-47d0-87e9-fad0373b85a0,active,2026-04-05 14:50:01.707+00,2026-05-05 14:50:01.707+00,false,2025-12-27 09:11:11.538428+00,2026-04-05 14:50:01.73495+00,order_SZqlc01811ZkxU,pay_SZqlhBUoU9lG58,e733df3a9010e7b235d16cacf962c627c7fd11fa90dc182ecf243a2cf858a4d3,1,INR,upi,,2026-04-05 14:50:01.707+00,"{""plan_name"": ""Restaurant Starter"", ""verified_at"": ""2026-04-05T14:50:01.707Z"", ""payment_method"": ""upi"", ""billing_interval"": ""monthly""}",,none,0,
71b53753-0373-442a-a1f0-9cb5d1c93718,978363fe-e1ba-4e66-980d-5d6b99199fb7,68b90907-b02a-408b-b749-68d2fa38972c,active,2026-04-05 11:40:30.117+00,2026-05-05 11:40:30.117+00,false,2025-12-15 02:55:12.702841+00,2026-04-05 11:40:30.393591+00,order_SZn4gdNERjAHq0,pay_SZn50bO5cnXTTJ,f8f13b77902d6f3171759e1b93337c5036f51ca7c2ac33ececd74aa43d06cedb,1,INR,upi,,2026-04-05 11:13:08.687+00,"{""plan_name"": ""Restaurant Starter"", ""verified_at"": ""2026-04-05T11:13:08.687Z"", ""payment_method"": ""upi"", ""billing_interval"": ""monthly""}",,none,0,
